Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
44066;44;11;Museo del Mare e delle Anfore;2013;2013-06-27T10:00:59Z;2362889480;13,882415;42,9574477
51002;51;9;Museo Archeologico Nazionale Gaio Cilnio Mecenat;2015;2015-04-12T20:37:17Z;2488595740;11,8795723;43,4607206
58091;58;12;Museo Storico della Liberazione;2015;2015-06-08T13:45:41Z;2408805739;12,5063522;41,8887174
58064;58;12;Complesso archeologico del Barco Borghese;2014;2014-11-10T21:17:42Z;2529645537;12,6898227;41,8157375
59007;59;12;Basement Project Room;2016;2016-01-15T00:03:47Z;2521238781;13,4261678;41,3587012
58074;58;12;Museo della Resistenza e degli 11 Martiri;2013;2013-09-08T20:48:36Z;2451005775;12,8638562;41,8476852
42032;42;11;Antiquarium Statale di Numana;2014;2014-07-04T10:43:53Z;2532557258;13,620879;43,5132736
43023;43;11;Museo Palazzo Ricci;2013;2013-10-16T13:15:45Z;2445787336;13,4505124;43,299297
47014;47;9;Museo dei Ferri Chirurgici;2016;2016-01-31T14:44:40Z;2383134423;10,9178078;43,9350799
47014;47;9;Antico Palazzo dei Vescovi e il Museo della Catt;2016;2016-01-29T17:21:24Z;2383134456;10,9175421;43,9330443
49009;49;9;"Museo diocesano """"Leonello Barsotti""""";2013;2013-10-05T18:25:30Z;2484015718;10,3179673;43,5538081
49009;49;9;Museo ebraico Yeshivà Marini;2014;2014-02-08T23:19:24Z;2484023248;10,320096;43,5478339
49009;49;9;Galleria degli Ex Voto del Santuario di Montener;2013;2013-10-05T19:11:42Z;2484106662;10,3501451;43,4926024
48050;48;9;Museo Leonardiano;2013;2013-09-01T14:47:14Z;2441122948;10,9271154;43,7867547
48050;48;9;Museo Leonardiano;2015;2015-01-30T21:56:52Z;2441122949;10,9271437;43,7876212
50010;50;9;Ecomuseo dell'alabastro;2013;2013-11-17T16:26:36Z;2536650913;10,5753748;43,4125571
54001;54;10;Galleria d'arte contemporanea della Pro Civitate;2014;2014-01-02T16:33:12Z;2386561246;12,6110088;43,0710336
54001;54;10;Museo del Tesoro della Basilica di San Francesco;2014;2014-01-03T22:47:02Z;2386566314;12,605877;43,0744938
54006;54;10;Antiquarium Urvinum Hortense;2013;2013-07-08T11:47:35Z;2377871754;12,5210585;42,9808536
54006;54;10;Museo Città di Cannara;2015;2015-12-15T00:26:58Z;2378986032;12,5826121;42,995792
50031;50;9;Fondazione Cerratelli;2013;2013-09-09T17:02:32Z;2451989120;10,4189208;43,8070349
52012;52;9;Museo Archeologico;2013;2013-08-23T17:22:02Z;2429348044;11,1200194;43,4222443
52012;52;9;Museo Civico;2013;2013-08-23T17:22:02Z;2429348045;11,1210858;43,422599
55030;55;10;Museo Vulcanologico;2013;2013-11-25T10:44:49Z;2550386482;12,2661609;42,8686651
55030;55;10;Parco Vulcanologico;2013;2013-11-25T12:16:33Z;2550482185;12,2638399;42,8627479
54045;54;10;Museo della Canapa;2013;2013-10-08T19:06:24Z;2488588005;12,8361115;42,7335825
54039;54;10;Palazzo della Penna museo civico;2013;2013-07-16T13:47:48Z;2386466793;12,3894078;43,1078348
